"seed","variant","loss_slope","steps","ptr_flip_rate","ptr_mean_dwell","ptr_max_dwell","eval_acc","eval_loss"
"123","baseline","-0.0005575361633407134","60","0.9955891927083333","1.0005068759123483","6","0.126953125","2.301709234714508"
"123","stabilized","-0.00946368231114898","60","0.4074724488394105","5.2707643747329715","256","0.109375","2.8126327097415924"
